stage,method,endpoint,mode,seconds,recorded
tdi_multitask,tabicl_singletask,fold21,full,14.7,2026-09-15
tdi_multitask,tabicl_multitask,fold21,full,15.2,2026-09-15
tdi_multitask,tabpfn_singletask,fold21,full,27.2,2026-09-15
tdi_multitask,tabpfn_multitask,fold21,full,1011.8,2026-09-15
tdi_multitask,chemprop_singletask,fold21,full,387.9,2026-09-15
tdi_multitask,chemprop_multitask,fold21,full,66.4,2026-09-15
tdi_multitask,majority_singletask,fold21,full,3.2,2026-09-15
tdi_multitask,lgbm_singletask,fold22,full,6.7,2026-09-15
tdi_multitask,lgbm_multitask,fold22,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold22,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold22,full,1.2,2026-09-15
tdi_multitask,tabicl_singletask,fold22,full,15.3,2026-09-15
tdi_multitask,tabicl_multitask,fold22,full,15.0,2026-09-15
tdi_multitask,tabpfn_singletask,fold22,full,21.1,2026-09-15
tdi_multitask,tabpfn_multitask,fold22,full,22.5,2026-09-15
tdi_multitask,chemprop_singletask,fold22,full,76.2,2026-09-15
tdi_multitask,chemprop_multitask,fold22,full,65.4,2026-09-15
tdi_multitask,majority_singletask,fold22,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold23,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold23,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold23,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold23,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold23,full,14.1,2026-09-15
tdi_multitask,tabicl_multitask,fold23,full,14.9,2026-09-15
tdi_multitask,tabpfn_singletask,fold23,full,21.1,2026-09-15
tdi_multitask,tabpfn_multitask,fold23,full,21.9,2026-09-15
tdi_multitask,chemprop_singletask,fold23,full,75.7,2026-09-15
tdi_multitask,chemprop_multitask,fold23,full,65.3,2026-09-15
tdi_multitask,majority_singletask,fold23,full,0.2,2026-09-15
tdi_multitask,lgbm_singletask,fold24,full,5.4,2026-09-15
tdi_multitask,lgbm_multitask,fold24,full,2.9,2026-09-15
tdi_multitask,xgb_singletask,fold24,full,2.0,2026-09-15
tdi_multitask,xgb_multitask,fold24,full,1.3,2026-09-15
tdi_multitask,tabicl_singletask,fold24,full,14.1,2026-09-15
tdi_multitask,tabicl_multitask,fold24,full,14.3,2026-09-15
tdi_multitask,tabpfn_singletask,fold24,full,21.3,2026-09-15
tdi_multitask,tabpfn_multitask,fold24,full,22.7,2026-09-15
tdi_multitask,chemprop_singletask,fold24,full,76.3,2026-09-15
tdi_multitask,chemprop_multitask,fold24,full,1020.4,2026-09-15
tdi_multitask,majority_singletask,fold24,full,4.2,2026-09-15
