molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL588934,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,5.40,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL276308,COC(=O)C1=CO[C@@H](C)[C@H]2C=[N+]3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,5.50,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL15023,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,6.77,Ki,=,A,CHEMBL754768,CHEMBL1126649
CHEMBL2079610,CCC1CN2CCC1CC2[C@H](O)c1ccnc2ccccc12,5.02,Ki,=,A,CHEMBL729203,CHEMBL1126649
CHEMBL2079610,CCC1CN2CCC1CC2[C@H](O)c1ccnc2ccccc12,4.62,Ki,=,A,CHEMBL729205,CHEMBL1126649
CHEMBL2079610,CCC1CN2CCC1CC2[C@H](O)c1ccnc2ccccc12,5.10,Ki,=,A,CHEMBL729204,CHEMBL1126649
CHEMBL278038,COC(=O)C1=CNC(C)C2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,5.54,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.46,Ki,=,A,CHEMBL729208,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,6.00,Ki,=,A,CHEMBL729202,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.58,Ki,=,A,CHEMBL758056,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.46,Ki,=,A,CHEMBL729203,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.27,Ki,=,A,CHEMBL729205,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.46,Ki,=,A,CHEMBL729204,CHEMBL1126649
CHEMBL15477,C=CC1CN2CCC1CC2C(=O)c1ccnc2ccc(OC)cc12,6.14,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL3559672,,8.48,Ki,=,A,CHEMBL754768,CHEMBL1126649
CHEMBL3559672,,8.34,Ki,=,A,CHEMBL729208,CHEMBL1126649
CHEMBL3559672,,7.85,Ki,=,A,CHEMBL729201,CHEMBL1126649
CHEMBL3559672,,8.24,Ki,=,A,CHEMBL758057,CHEMBL1126649
CHEMBL3559672,,8.46,Ki,=,A,CHEMBL729203,CHEMBL1126649
CHEMBL3559672,,7.89,Ki,=,A,CHEMBL729205,CHEMBL1126649
CHEMBL3559672,,8.34,Ki,=,A,CHEMBL729204,CHEMBL1126649
CHEMBL486817,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12,4.19,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079555,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@H]1O,7.51,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079556,C=CC1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(Cl)cc12,5.46,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079613,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(Cl)cc12,6.28,Ki,=,A,CHEMBL729206,CHEMBL1126649
